id,workspaceId,outputJson,createdAt,agentType,chatbotAgentId,voiceAgentId,agenticFlowId,customAgentId,chatbotAgentVersionId,voiceAgentVersionId,agenticFlowVersionId,customAgentVersionId,chatbotConversationId,voiceConversationId,agenticFlowConversationId,customAgentConversationId,aiCoworkerRoleId
1,cmkap74u500022flp24p2sge9,"{""user_sentiment"": 3, ""is_appointment_booked"": false}",25:03.1,voicebot,,1,,,,,,,,c0ba55f5ed5f40c29dd41e18d8560f21,,,
34,cmosf1u2w000l3b5k3xfcgc38,"{""user_sentiment"": 2, ""is_appointment_booked"": false}",26:44.9,voicebot,,798,,,,,,,,cb3f96ee5ea44f26ba5c4ed114728557,,,
35,cmkap74u500022flp24p2sge9,"{""call_completed"": false, ""question_topics"": [], ""customer_disposition"": ""neutral"", ""non_retention_reason"": ""not_applicable"", ""sim_retention_success"": false}",34:20.6,voicebot,,793,,,,,,,,72e55c66392e44a7ae7ce0b98b030476,,,
36,cmkap74u500022flp24p2sge9,"{""call_completed"": false, ""question_topics"": [], ""customer_disposition"": ""receptive"", ""non_retention_reason"": ""not_applicable"", ""sim_retention_success"": true}",39:12.3,voicebot,,795,,,,,,,,aaacf0ca913643a5a07d30bc873b5c9f,,,
37,cmkap74u500022flp24p2sge9,"{""call_completed"": false, ""question_topics"": [], ""customer_disposition"": ""receptive"", ""non_retention_reason"": ""not_applicable"", ""sim_retention_success"": true}",42:23.5,voicebot,,794,,,,,,,,01885243f3844b97a2fc81f25c9816fb,,,
38,cmkap74u500022flp24p2sge9,"{""call_completed"": false, ""question_topics"": [], ""customer_disposition"": ""disengaged"", ""non_retention_reason"": ""undisclosed"", ""sim_retention_success"": false}",45:36.7,voicebot,,796,,,,,,,,a67a70ed8ac248078b526df06c0cfa9c,,,
39,cmkap74u500022flp24p2sge9,"{""call_completed"": false, ""question_topics"": [], ""customer_disposition"": ""disengaged"", ""non_retention_reason"": ""undisclosed"", ""sim_retention_success"": false}",46:58.4,voicebot,,794,,,,,,,,4f9448c71f1f4eaf8f46aefd362b8428,,,
40,cmkap74u500022flp24p2sge9,"{""call_completed"": false, ""question_topics"": [], ""customer_disposition"": ""neutral"", ""non_retention_reason"": ""not_applicable"", ""sim_retention_success"": false}",47:23.5,voicebot,,794,,,,,,,,b0ea0d6639eb4bf39c7e12bd651ef2e4,,,
41,cmkap74u500022flp24p2sge9,"{""call_completed"": false, ""question_topics"": [], ""customer_disposition"": ""neutral"", ""non_retention_reason"": ""undisclosed"", ""sim_retention_success"": false}",47:59.7,voicebot,,794,,,,,,,,9204b1e1acf641b091c07796081fe082,,,
42,cmkap74u500022flp24p2sge9,"{""call_completed"": true, ""question_topics"": [""promo_details""], ""customer_disposition"": ""skeptic"", ""non_retention_reason"": ""undisclosed"", ""sim_retention_success"": false}",49:58.7,voicebot,,796,,,,,,,,1fdb91ef27ac4d9cbbde2e8089a5b70d,,,
